Feature,Normal_N,Delayed_N,Normal_Mean,Delayed_Mean,U,P_Value,Effect_Size,Adjusted_P,Significant,Absolute_Effect_Size
firstorder_Energy,190,12,126959261.88636737,4489343.778518727,2216.0,4.3436175021452895e-08,0.9438596491228072,8.070925546536554e-07,True,0.9438596491228072
MeanThickness,190,12,17.90947277517336,5.545320878584868,2215.0,4.470299755593232e-08,0.9429824561403508,8.070925546536554e-07,True,0.9429824561403508
wavelet-L_firstorder_Mean,190,12,-11.51036407081592,133.92174853859933,66.0,4.6005607893292665e-08,-0.9421052631578948,8.070925546536554e-07,True,0.9421052631578948
firstorder_Mean,190,12,-8.140612927643021,95.25762176608151,66.0,4.6005607893292665e-08,-0.9421052631578948,8.070925546536554e-07,True,0.9421052631578948
shape2D_MeshSurface,190,12,12022.552631578948,519.8333333333334,2213.0,4.7344982314654064e-08,0.9412280701754384,8.070925546536554e-07,True,0.9412280701754384
shape2D_PixelSurface,190,12,12023.052631578948,520.3333333333334,2213.0,4.7344982314654064e-08,0.9412280701754384,8.070925546536554e-07,True,0.9412280701754384
lbp-2D_firstorder_Energy,190,12,242623.36315789472,10457.25,2212.0,4.872212272187421e-08,0.9403508771929824,8.070925546536554e-07,True,0.9403508771929824
lbp-2D_firstorder_TotalEnergy,190,12,242623.36315789472,10457.25,2212.0,4.872212272187421e-08,0.9403508771929824,8.070925546536554e-07,True,0.9403508771929824
exponential_firstorder_Median,190,12,1.5026071951648516,15.976905129992394,74.0,5.783755108042455e-08,-0.9350877192982456,8.397437261915008e-07,True,0.9350877192982456
wavelet-L_firstorder_Median,190,12,-9.738881186336204,153.03751752786567,74.0,5.783755108042455e-08,-0.9350877192982456,8.397437261915008e-07,True,0.9350877192982456
firstorder_Median,190,12,-6.885975570526853,107.7188035491247,74.0,5.783755108042455e-08,-0.9350877192982456,8.397437261915008e-07,True,0.9350877192982456
squareroot_firstorder_Mean,190,12,-9.623455804626325,134.36256608394015,75.0,5.950939791908273e-08,-0.9342105263157896,8.397437261915008e-07,True,0.9342105263157896
square_firstorder_Energy,190,12,48959408.89774399,1356707.6914131662,2201.0,6.667742500154242e-08,0.9307017543859648,8.673075230093771e-07,True,0.9307017543859648
square_firstorder_TotalEnergy,190,12,48959408.89774399,1356707.6914131662,2201.0,6.667742500154242e-08,0.9307017543859648,8.673075230093771e-07,True,0.9307017543859648
squareroot_firstorder_Median,190,12,-20.229900568108988,159.67763185675145,80.0,6.859615823114696e-08,-0.9298245614035088,8.673075230093771e-07,True,0.9298245614035088
logarithm_firstorder_Mean,190,12,-11.18037953285316,167.842048674771,81.0,7.05683286438076e-08,-0.9289473684210526,8.673075230093771e-07,True,0.9289473684210526
Area,190,12,3923.6526315789474,195.04166666666663,2196.0,7.681500254923727e-08,0.9263157894736842,8.854961881114779e-07,True,0.9263157894736842
exponential_firstorder_Skewness,190,12,3.050941002789709,0.3783694128328588,2195.0,7.902065720679854e-08,0.9254385964912282,8.854961881114779e-07,True,0.9254385964912282
shape2D_Perimeter,190,12,843.0099852800026,86.82327436675665,2195.0,7.902065720679854e-08,0.9254385964912282,8.854961881114779e-07,True,0.9254385964912282
shape2D_MaximumDiameter,190,12,227.98897774462728,32.529483314392934,2193.0,8.360567368586614e-08,0.923684210526316,9.10107476409e-07,True,0.923684210526316
shape2D_MinorAxisLength,190,12,137.5289147169151,11.926270497200028,2192.0,8.599514675352167e-08,0.9228070175438596,9.101153031414376e-07,True,0.9228070175438596
shape2D_MajorAxisLength,190,12,274.4301896239755,35.71510566315418,2186.0,1.017760083008457e-07,0.9175438596491228,1.0480178152060055e-06,True,0.9175438596491228
exponential_firstorder_Kurtosis,190,12,14.33319344370917,2.8538682565864195,2180.0,1.2034372895037684e-07,0.912280701754386,1.2066042297393048e-06,True,0.912280701754386
logarithm_firstorder_Median,190,12,-37.93999685973355,206.65081025602737,103.0,1.308172433136745e-07,-0.9096491228070176,1.277983838525897e-06,True,0.9096491228070176
square_glcm_Correlation,190,12,0.9733064558144028,0.5061145623315807,2174.0,1.4217008082813488e-07,0.9070175438596492,1.3541700198879847e-06,True,0.9070175438596492
square_glcm_Idn,190,12,0.9862955651635634,0.8882563146875405,2173.0,1.4616187477964497e-07,0.906140350877193,1.3582359583181642e-06,True,0.906140350877193
square_glcm_MCC,190,12,0.9769103012854856,0.6625273532233787,2172.0,1.5026196998356602e-07,0.9052631578947368,1.3630907277080633e-06,True,0.9052631578947368
square_firstorder_Skewness,190,12,1.5035629629530902,-0.1675223550891371,2169.0,1.6324071033831216e-07,0.9026315789473685,1.378600708594496e-06,True,0.9026315789473685
squareroot_firstorder_Minimum,190,12,-244.41243118102145,-69.98648391587649,111.0,1.6324071033831216e-07,-0.9026315789473685,1.378600708594496e-06,True,0.9026315789473685
firstorder_10Percentile,190,12,-138.1114229237569,22.983499562119253,111.0,1.6324071033831216e-07,-0.9026315789473685,1.378600708594496e-06,True,0.9026315789473685
wavelet-L_firstorder_10Percentile,190,12,-195.2447269930663,33.53257968708036,112.0,1.6780301878704498e-07,-0.9017543859649124,1.378600708594496e-06,True,0.9017543859649124
squareroot_firstorder_10Percentile,190,12,-184.5225267194333,40.67084784347048,113.0,1.7248849966368521e-07,-0.9008771929824562,1.378600708594496e-06,True,0.9008771929824562
StdThickness,190,12,4.36220612343446,1.1286467519657708,2166.0,1.7730035359876726e-07,0.8999999999999999,1.378600708594496e-06,True,0.8999999999999999
square_glcm_ClusterShade,190,12,77.98308446723192,3.038826035349757,2166.0,1.7730035359876726e-07,0.8999999999999999,1.378600708594496e-06,True,0.8999999999999999
Perimeter,190,12,445.8236595091067,58.99484661221504,2165.0,1.8224186090649002e-07,0.8991228070175439,1.388682980107454e-06,True,0.8991228070175439
exponential_firstorder_10Percentile,190,12,0.1308199235681408,4.859852832429404,120.0,2.09014828557219e-07,-0.8947368421052632,1.5441847220516248e-06,True,0.8947368421052632
wavelet-L_firstorder_Range,190,12,589.0751333518923,312.12529205116005,2159.0,2.1480784847437305e-07,0.893859649122807,1.5441847220516248e-06,True,0.893859649122807
firstorder_Range,190,12,416.0572913059266,221.50812808017952,2159.0,2.1480784847437305e-07,0.893859649122807,1.5441847220516248e-06,True,0.893859649122807
square_firstorder_Range,190,12,221.59354394435164,99.983168520608,2158.0,2.207558792742375e-07,0.8929824561403508,1.557555370434898e-06,True,0.8929824561403508
glcm_Imc2,190,12,0.9965756155832072,0.7559637919383402,2152.0,2.599297140844156e-07,0.8877192982456141,1.8006040193847694e-06,True,0.8877192982456141
wavelet-L_firstorder_Minimum,190,12,-327.57108130486034,-86.94778518639951,129.0,2.6708019482712026e-07,-0.8868421052631579,1.809375227449094e-06,True,0.8868421052631579
wavelet-L_glcm_SumEntropy,190,12,5.157237563552312,3.2523247994416558,2150.0,2.7442048704158684e-07,0.8859649122807018,1.809375227449094e-06,True,0.8859649122807018
squareroot_glcm_Idmn,190,12,0.9981302190932784,0.966645089094312,2149.0,2.819554339655483e-07,0.8850877192982456,1.809375227449094e-06,True,0.8850877192982456
squareroot_glcm_Correlation,190,12,0.987330116261575,0.4896545902492402,2149.0,2.819554339655483e-07,0.8850877192982456,1.809375227449094e-06,True,0.8850877192982456
BoundingBoxWidth,190,12,87.85263157894737,18.166666666666668,2148.0,2.884766607357849e-07,0.8842105263157896,1.809375227449094e-06,True,0.8842105263157896
firstorder_Minimum,190,12,-231.4733426721829,-63.71304483531094,132.0,2.896899970456555e-07,-0.8842105263157894,1.809375227449094e-06,True,0.8842105263157894
wavelet-H_glcm_SumSquares,190,12,0.2463412592363613,0.6906960984180531,133.5,3.0167428962624615e-07,-0.8828947368421053,1.8492314274919048e-06,True,0.8828947368421053
square_glcm_ClusterProminence,190,12,1081.091287514275,71.427754299538,2146.0,3.0577842501834645e-07,0.8824561403508773,1.8492314274919048e-06,True,0.8824561403508773
SkeletonLength,190,12,172.94210526315788,19.08333333333333,2144.5,3.180123662853396e-07,0.8811403508771929,1.89168218850012e-06,True,0.8811403508771929
wavelet-L_glcm_Imc2,190,12,0.9935165018293376,0.8523560744585246,2144.0,3.227279324212803e-07,0.880701754385965,1.89168218850012e-06,True,0.880701754385965
squareroot_firstorder_Range,190,12,463.85421240479735,267.5798092810811,2143.0,3.315393306355817e-07,0.8798245614035087,1.913886135941767e-06,True,0.8798245614035087
logarithm_glcm_MCC,190,12,0.9880659071612464,0.5961733524847423,2142.0,3.405827538983651e-07,0.8789473684210527,1.9318581330630533e-06,True,0.8789473684210527
squareroot_glcm_Idn,190,12,0.9808140024046308,0.9172129097812246,2141.0,3.498640713421278e-07,0.8780701754385964,1.9318581330630533e-06,True,0.8780701754385964
squareroot_glcm_MCC,190,12,0.9897506342251232,0.6795900119248716,2141.0,3.498640713421278e-07,0.8780701754385964,1.9318581330630533e-06,True,0.8780701754385964
squareroot_firstorder_Entropy,190,12,3.912743261102919,2.277514175612326,2140.0,3.59389293993618e-07,0.8771929824561404,1.9497915523725177e-06,True,0.8771929824561404
BoundingBoxHeight,190,12,131.56315789473683,18.08333333333333,2139.5,3.633469822006529e-07,0.8767543859649123,1.9497915523725177e-06,True,0.8767543859649123
squareroot_glcm_SumEntropy,190,12,4.699905807500834,2.769979056451986,2136.0,4.00054607887849e-07,0.8736842105263158,2.1155525461632403e-06,True,0.8736842105263158
logarithm_glcm_Correlation,190,12,0.9801823702721988,0.4058398987450813,2135.0,4.108947202521779e-07,0.8728070175438596,2.1155525461632403e-06,True,0.8728070175438596
logarithm_firstorder_10Percentile,190,12,-222.97343930700976,58.4057631959476,145.0,4.108947202521779e-07,-0.8728070175438596,2.1155525461632403e-06,True,0.8728070175438596
wavelet-L_firstorder_Skewness,190,12,-0.0666161147780549,-1.269401739233238,2134.0,4.220179711638538e-07,0.8719298245614036,2.143851293512377e-06,True,0.8719298245614036
square_firstorder_Maximum,190,12,221.6169300816057,109.21377162282704,2133.0,4.334314601468145e-07,0.8710526315789473,2.17286034626232e-06,True,0.8710526315789473
squareroot_glcm_Imc2,190,12,0.9960860484295812,0.7681382451107625,2132.0,4.451424567262237e-07,0.8701754385964913,2.2025880001648207e-06,True,0.8701754385964913
wavelet-L_firstorder_Entropy,190,12,4.282141800362656,2.7749885255390083,2128.0,4.951130780780975e-07,0.8666666666666667,2.4184369583045533e-06,True,0.8666666666666667
exponential_firstorder_Minimum,190,12,0.0309851092365082,2.3746878316379205,156.0,5.504722814134963e-07,-0.8631578947368421,2.654809357196735e-06,True,0.8631578947368421
glcm_SumEntropy,190,12,4.595319498437121,2.8796203339320123,2122.0,5.803441690612879e-07,0.8614035087719298,2.763889105154384e-06,True,0.8614035087719298
wavelet-H_firstorder_Variance,190,12,1.9298583889417853,378.022692137592,159.0,5.958601927531664e-07,-0.8605263157894737,2.802749795542672e-06,True,0.8605263157894737
wavelet-H_firstorder_RootMeanSquared,190,12,1.3192165705114578,16.91042499263907,160.0,6.117757095653852e-07,-0.8596491228070176,2.842518845663558e-06,True,0.8596491228070176
squareroot_firstorder_Uniformity,190,12,0.0824989448120618,0.3112610678817197,162.0,6.448449049002708e-07,-0.8578947368421053,2.960071189963893e-06,True,0.8578947368421053
glcm_Imc1,190,12,-0.7048584819076383,-0.3120515062764202,165.0,6.976991148646884e-07,-0.8552631578947368,3.16456384242198e-06,True,0.8552631578947368
logarithm_firstorder_Skewness,190,12,0.0663422353104902,-1.9833971742196683,2114.0,7.162270131558738e-07,0.8543859649122807,3.2103822589692696e-06,True,0.8543859649122807
wavelet-H_firstorder_MeanAbsoluteDeviation,190,12,0.9366226545424648,12.328469598986397,167.0,7.352285028505448e-07,-0.8535087719298246,3.257233251000669e-06,True,0.8535087719298246
firstorder_Entropy,190,12,3.804109059386242,2.368314524507792,2112.0,7.547151841788998e-07,0.8526315789473684,3.3051320134731127e-06,True,0.8526315789473684
logarithm_firstorder_Entropy,190,12,3.520822927489868,1.9391140998404912,2111.0,7.746989280962199e-07,0.8517543859649124,3.3540942227802247e-06,True,0.8517543859649124
lbp-2D_firstorder_InterquartileRange,190,12,0.8894736842105263,2.958333333333333,170.0,1.5838256028146523e-14,-0.8508771929824561,3.017187773361912e-12,True,0.8508771929824561
exponential_firstorder_Energy,190,12,2107073.8691682094,108439.99109251716,2103.0,9.539818338696948e-07,0.8447368421052632,3.9941437220258654e-06,True,0.8447368421052632
squareroot_firstorder_Skewness,190,12,0.0468058999449746,-1.6309779487009572,2103.0,9.539818338696948e-07,0.8447368421052632,3.9941437220258654e-06,True,0.8447368421052632
exponential_firstorder_TotalEnergy,190,12,2107073.8691682094,108439.99109251716,2103.0,9.539818338696948e-07,0.8447368421052632,3.9941437220258654e-06,True,0.8447368421052632
wavelet-L_firstorder_Uniformity,190,12,0.064476685908719,0.2445075285038691,180.0,1.0310109039064517e-06,-0.8421052631578947,4.198907394364456e-06,True,0.8421052631578947
wavelet-H_firstorder_90Percentile,190,12,1.4291436206481445,17.241073743034324,181.0,1.0579924143280515e-06,-0.8412280701754387,4.198907394364456e-06,True,0.8412280701754387
logarithm_glcm_SumEntropy,190,12,4.213298948969687,2.412396315816126,2099.0,1.0579924143280515e-06,0.8412280701754387,4.198907394364456e-06,True,0.8412280701754387
lbp-2D_firstorder_Variance,190,12,1.6014323099764696,6.233944662793095,181.0,1.0579924143280515e-06,-0.8412280701754387,4.198907394364456e-06,True,0.8412280701754387
wavelet-H_firstorder_10Percentile,190,12,-1.4673353450954534,-21.464419573906486,2099.0,1.0579924143280515e-06,0.8412280701754387,4.198907394364456e-06,True,0.8412280701754387
logarithm_firstorder_Uniformity,190,12,0.1197242562359975,0.3903487684816207,182.0,1.0856528395401596e-06,-0.8403508771929824,4.264265276956709e-06,True,0.8403508771929824
wavelet-H_firstorder_InterquartileRange,190,12,1.593438463900026,16.465787732640646,183.0,1.114008527365714e-06,-0.8394736842105264,4.2872449386498695e-06,True,0.8394736842105264
lbp-2D_firstorder_Kurtosis,190,12,6.562029171159058,3.2120444089515714,2097.0,1.114008527365714e-06,0.8394736842105264,4.2872449386498695e-06,True,0.8394736842105264
logarithm_firstorder_Minimum,190,12,-254.63525232867315,-74.52082772264994,184.0,1.1430762000361708e-06,-0.8385964912280701,4.355120322137811e-06,True,0.8385964912280701
lbp-2D_firstorder_10Percentile,190,12,3.0331578947368425,1.0583333333333331,2096.0,2.302916043691414e-19,0.8385964912280701,8.774110126464287e-17,True,0.8385964912280701
logarithm_glcm_Imc2,190,12,0.994399184245506,0.6786002029695196,2095.0,1.1728729622805955e-06,0.8377192982456141,4.42440196662284e-06,True,0.8377192982456141
glcm_MaximumProbability,190,12,0.1040501365965847,0.3057924605900976,186.0,1.2034163095775951e-06,-0.8368421052631578,4.495113862245723e-06,True,0.8368421052631578
squareroot_glcm_Imc1,190,12,-0.6801589929673489,-0.3283400132175482,188.0,1.266814745668381e-06,-0.8350877192982455,4.685984641744206e-06,True,0.8350877192982455
exponential_firstorder_Mean,190,12,6.026766528224664,17.669268803539538,190.0,1.3334196112608115e-06,-0.8333333333333334,4.88493146048432e-06,True,0.8333333333333334
square_glcm_Imc2,190,12,0.9607452667922044,0.7453594509133041,2089.0,1.367972591042777e-06,0.8324561403508772,4.916958086672622e-06,True,0.8324561403508772
wavelet-H_firstorder_RobustMeanAbsoluteDeviation,190,12,0.5880336758584161,7.492903851703051,191.0,1.367972591042777e-06,-0.8324561403508772,4.916958086672622e-06,True,0.8324561403508772
wavelet-L_glcm_Imc1,190,12,-0.6724362303232788,-0.4105506575546426,192.0,1.4033858179005558e-06,-0.8315789473684211,4.997102772150577e-06,True,0.8315789473684211
gradient_glcm_Imc1,190,12,-0.6940349638165393,-0.3195724032810969,192.5,1.42140889500814e-06,-0.831140350877193,5.014414712945383e-06,True,0.831140350877193
wavelet-L_glcm_MaximumProbability,190,12,0.0746072331181161,0.2807281658283072,194.0,1.4768753802964692e-06,-0.8298245614035088,5.115359271754134e-06,True,0.8298245614035088
wavelet-L_glcm_ClusterProminence,190,12,41125.999734752106,7910.117764614174,2086.0,1.4768753802964692e-06,0.8298245614035087,5.115359271754134e-06,True,0.8298245614035087
glcm_ClusterProminence,190,12,10330.032505905952,2106.5981410284357,2079.0,1.7643519741411037e-06,0.8236842105263158,6.001947340605004e-06,True,0.8236842105263158
logarithm_glcm_ClusterProminence,190,12,79757.26223347777,21207.495430905463,2079.0,1.7643519741411037e-06,0.8236842105263158,6.001947340605004e-06,True,0.8236842105263158
logarithm_glcm_ClusterTendency,190,12,226.5358204457161,58.06815191430769,2076.0,1.9033809209344928e-06,0.8210526315789475,6.302706998921692e-06,True,0.8210526315789475
square_glcm_DifferenceVariance,190,12,0.1203666514166155,0.4625507372845682,204.0,1.9033809209344928e-06,-0.8210526315789474,6.302706998921692e-06,True,0.8210526315789474
firstorder_Uniformity,190,12,0.085422674658172,0.2932674761678489,205.0,1.9520194904796844e-06,-0.8201754385964912,6.302706998921692e-06,True,0.8201754385964912
gradient_firstorder_Energy,190,12,6821587.874958114,753830.7291327828,2075.0,1.9520194904796844e-06,0.8201754385964912,6.302706998921692e-06,True,0.8201754385964912
squareroot_glcm_JointEnergy,190,12,0.0521690497601503,0.1855827160365841,205.0,1.9520194904796844e-06,-0.8201754385964912,6.302706998921692e-06,True,0.8201754385964912
gradient_firstorder_TotalEnergy,190,12,6821587.874958114,753830.7291327828,2075.0,1.9520194904796844e-06,0.8201754385964912,6.302706998921692e-06,True,0.8201754385964912
